Exercise,BodyPart,Difficulty,Intensity,MovementPattern,Equipment,RecommendedReps,RecommendedSets,Description,MuscleGroups,GifUrl
cable pushdown (straight arm) v. 2,back,4,Medium,Push,Kettlebell,15-20,1,No description provided,General,
cable rear pulldown,back,5,Low,Core,Band,12-15,4,No description provided,General,
cable reverse-grip straight back seated high row,back,3,Medium,Isolation,Kettlebell,15-20,4,No description provided,General,
cable seated high row (v-bar),back,2,Medium,Push,Dumbbell,12-15,3,No description provided,General,
cable seated one arm alternate row,back,2,Medium,Push,Kettlebell,12-15,2,No description provided,General,
cable seated wide-grip row,back,3,High,Core,Kettlebell,8-12,4,No description provided,General,
cable shrug,back,4,High,Core,Kettlebell,8-12,2,No description provided,General,
cable standing row (v-bar),back,3,Medium,Cardio,Band,8-12,4,No description provided,General,
cable standing twist row (v-bar),back,3,Low,Compound,Body Weight,12-15,4,No description provided,General,
cable straight arm pulldown (with rope),back,3,Low,Core,Body Weight,Max Effort,2,No description provided,General,
cable straight arm pulldown,back,2,Medium,Cardio,Machine,12-15,3,No description provided,General,
cable straight back seated row,back,4,Low,Core,Barbell,8-12,1,No description provided,General,
cable twisting pull,back,2,High,Compound,Band,Max Effort,1,No description provided,General,
cable underhand pulldown,back,1,High,Pull,Dumbbell,15-20,4,No description provided,General,
cambered bar lying row,back,2,Medium,Pull,Band,12-15,1,No description provided,General,
chin-ups (narrow parallel grip),back,2,Low,Pull,Cable,12-15,3,No description provided,General,
dumbbell one arm bent-over row,back,3,Low,Cardio,Kettlebell,15-20,2,No description provided,General,
dumbbell bent over row,back,2,High,Cardio,Body Weight,12-15,2,No description provided,General,
dumbbell decline shrug v. 2,back,4,High,Pull,Band,8-12,2,No description provided,General,
dumbbell decline shrug,back,1,Low,Cardio,Kettlebell,Max Effort,3,No description provided,General,
dumbbell incline row,back,4,High,Compound,Cable,12-15,2,No description provided,General,
dumbbell incline shrug,back,4,Low,Isolation,Band,8-12,1,No description provided,General,
dumbbell shrug,back,1,High,Compound,Barbell,12-15,3,No description provided,General,
gironda sternum chin,back,2,High,Isolation,Band,8-12,3,No description provided,General,
hyperextension (on bench),back,2,High,Cardio,Machine,Max Effort,4,No description provided,General,
hyperextension,back,2,Medium,Pull,Dumbbell,12-15,1,No description provided,General,
inverted row v. 2,back,4,Low,Cardio,Band,12-15,1,No description provided,General,
inverted row with straps,back,1,High,Push,Cable,12-15,4,No description provided,General,
inverted row,back,2,Medium,Compound,Kettlebell,8-12,1,No description provided,General,
kettlebell alternating renegade row,back,2,Medium,Compound,Body Weight,Max Effort,2,No description provided,General,
kettlebell alternating row,back,1,Medium,Compound,Machine,Max Effort,4,No description provided,General,
kettlebell one arm row,back,3,High,Compound,Band,12-15,1,No description provided,General,
kettlebell sumo high pull,back,3,High,Cardio,Band,12-15,4,No description provided,General,
kipping muscle up,back,3,Medium,Pull,None,8-12,3,No description provided,General,
lever alternating narrow grip seated row,back,5,High,Pull,Band,8-12,3,No description provided,General,
lever assisted chin-up,back,5,High,Core,Cable,8-12,2,No description provided,General,
lever back extension,back,3,Medium,Core,None,15-20,3,No description provided,General,
lever bent over row,back,3,Low,Core,Body Weight,12-15,2,No description provided,General,
lever front pulldown,back,2,Medium,Push,Band,12-15,4,No description provided,General,
lever gripless shrug,back,5,High,Cardio,None,Max Effort,2,No description provided,General,
lever high row,back,1,Low,Push,Dumbbell,Max Effort,1,No description provided,General,
lever narrow grip seated row,back,4,Low,Isolation,Machine,8-12,4,No description provided,General,
lever one arm bent over row,back,3,Medium,Push,Body Weight,15-20,4,No description provided,General,
lever shrug,back,1,Low,Cardio,Cable,12-15,2,No description provided,General,
lever t bar row,back,5,Low,Push,Kettlebell,12-15,4,No description provided,General,
london bridge,back,4,High,Pull,Machine,12-15,2,No description provided,General,
mixed grip chin-up,back,2,High,Isolation,Barbell,8-12,3,No description provided,General,
muscle up,back,5,Low,Pull,Cable,8-12,2,No description provided,General,
one arm chin-up,back,5,Medium,Core,Barbell,Max Effort,3,No description provided,General,
pull up (neutral grip),back,4,Low,Core,Cable,15-20,1,No description provided,General,
pull-up,back,3,Medium,Pull,Body Weight,Max Effort,2,No description provided,General,
rear pull-up,back,2,Medium,Push,Cable,8-12,1,No description provided,General,
reverse grip machine lat pulldown,back,4,Low,Core,Kettlebell,15-20,2,No description provided,General,
reverse grip pull-up,back,4,Medium,Isolation,Dumbbell,Max Effort,3,No description provided,General,
rocky pull-up pulldown,back,2,High,Compound,Kettlebell,15-20,4,No description provided,General,
rope climb,back,3,Low,Core,Machine,8-12,1,No description provided,General,
scapular pull-up,back,1,Medium,Push,None,Max Effort,2,No description provided,General,
seated lower back stretch,back,1,Low,Push,Band,8-12,4,No description provided,General,
side-to-side chin,back,4,Low,Core,Cable,Max Effort,1,No description provided,General,
smith back shrug,back,1,Medium,Pull,None,12-15,2,No description provided,General,
smith narrow row,back,4,High,Pull,Cable,15-20,2,No description provided,General,
smith shrug,back,3,Low,Push,Band,Max Effort,2,No description provided,General,
standing lateral stretch,back,5,Low,Core,Body Weight,12-15,2,No description provided,General,
suspended row,back,4,High,Pull,Cable,8-12,2,No description provided,General,
twin handle parallel grip lat pulldown,back,1,Medium,Isolation,Cable,Max Effort,3,No description provided,General,
weighted hyperextension (on stability ball),back,3,Low,Push,Dumbbell,12-15,2,No description provided,General,
weighted pull-up,back,4,Medium,Pull,Dumbbell,8-12,4,No description provided,General,
cable seated row,back,4,High,Push,Machine,12-15,2,No description provided,General,
band assisted pull-up,back,3,Medium,Push,Cable,Max Effort,2,No description provided,General,
band close-grip pulldown,back,4,Medium,Pull,Band,Max Effort,4,No description provided,General,
band kneeling one arm pulldown,back,5,Medium,Isolation,Kettlebell,12-15,4,No description provided,General,
band one arm standing low row,back,4,Medium,Compound,None,8-12,3,No description provided,General,
band one arm twisting seated row,back,2,Medium,Pull,Band,8-12,2,No description provided,General,
band straight leg deadlift,back,5,Medium,Push,Barbell,12-15,3,No description provided,General,
band underhand pulldown,back,1,High,Isolation,Band,8-12,2,No description provided,General,
band shrug,back,1,Medium,Compound,Body Weight,8-12,3,No description provided,General,
lever unilateral row,back,2,Medium,Compound,Barbell,Max Effort,4,No description provided,General,
back extension on exercise ball,back,2,Medium,Core,Kettlebell,Max Effort,3,No description provided,General,
barbell bent arm pullover,back,4,Medium,Push,Kettlebell,8-12,2,No description provided,General,
barbell reverse grip incline bench row,back,5,Low,Pull,Barbell,12-15,4,No description provided,General,
cable incline bench row,back,5,Medium,Pull,Machine,8-12,1,No description provided,General,
cable palm rotational row,back,1,Medium,Compound,Dumbbell,Max Effort,3,No description provided,General,
cable rope crossover seated row,back,1,High,Isolation,Barbell,15-20,4,No description provided,General,
cable rope elevated seated row,back,4,High,Pull,Kettlebell,Max Effort,4,No description provided,General,
cable rope extension incline bench row,back,3,High,Cardio,Body Weight,15-20,2,No description provided,General,
cable rope seated row,back,1,High,Compound,Dumbbell,12-15,3,No description provided,General,
cable upper row,back,2,High,Pull,Kettlebell,Max Effort,4,No description provided,General,
cable wide grip rear pulldown behind neck,back,3,Low,Pull,None,12-15,2,No description provided,General,
chin-up,back,4,Low,Cardio,Barbell,8-12,4,No description provided,General,
close grip chin-up,back,2,Medium,Compound,Dumbbell,15-20,3,No description provided,General,
dumbbell lying rear delt row,back,1,Medium,Cardio,Barbell,15-20,3,No description provided,General,
dumbbell palm rotational bent over row,back,4,Low,Core,Kettlebell,Max Effort,1,No description provided,General,
dumbbell reverse grip incline bench one arm row,back,2,Low,Core,Body Weight,12-15,2,No description provided,General,
dumbbell reverse grip incline bench two arm row,back,2,Medium,Compound,Cable,15-20,1,No description provided,General,
exercise ball alternating arm ups,back,5,Medium,Isolation,Body Weight,15-20,2,No description provided,General,
exercise ball back extension with arms extended,back,5,Low,Push,Body Weight,15-20,4,No description provided,General,
exercise ball back extension with hands behind head,back,1,Medium,Cardio,Kettlebell,15-20,4,No description provided,General,
exercise ball back extension with knees off ground,back,2,Medium,Pull,Body Weight,Max Effort,4,No description provided,General,
exercise ball back extension with rotation,back,4,Low,Core,None,8-12,1,No description provided,General,
exercise ball hug,back,5,Medium,Compound,Body Weight,8-12,1,No description provided,General,
exercise ball lat stretch,back,3,High,Pull,Cable,12-15,4,No description provided,General,
exercise ball lower back stretch (pyramid),back,5,Medium,Pull,Cable,Max Effort,1,No description provided,General,
exercise ball lying side lat stretch,back,2,Low,Core,None,15-20,2,No description provided,General,
exercise ball prone leg raise,back,4,Low,Pull,Dumbbell,8-12,2,No description provided,General,
ez bar reverse grip bent over row,back,2,High,Core,Kettlebell,8-12,4,No description provided,General,
kettlebell two arm row,back,2,Medium,Pull,Dumbbell,15-20,2,No description provided,General,
kneeling lat stretch,back,5,Low,Core,Cable,12-15,2,No description provided,General,
lever one arm lateral wide pulldown,back,3,High,Isolation,Body Weight,15-20,4,No description provided,General,
lever reverse grip vertical row,back,1,Medium,Core,Barbell,8-12,4,No description provided,General,
lever reverse t-bar row,back,1,High,Core,Dumbbell,8-12,2,No description provided,General,
lever seated row,back,1,Low,Pull,None,8-12,1,No description provided,General,
lever t-bar reverse grip row,back,5,Medium,Pull,Band,8-12,2,No description provided,General,
lower back curl,back,4,Medium,Pull,Barbell,12-15,4,No description provided,General,
medicine ball catch and overhead throw,back,4,High,Cardio,Cable,Max Effort,3,No description provided,General,
medicine ball overhead slam,back,3,Medium,Pull,Cable,15-20,4,No description provided,General,
one arm against wall,back,5,Low,Cardio,Body Weight,Max Effort,1,No description provided,General,
lever one arm lateral high row,back,5,Low,Pull,None,15-20,2,No description provided,General,
side lying floor stretch,back,3,Medium,Core,Cable,15-20,1,No description provided,General,
smith bent over row,back,2,High,Cardio,Body Weight,8-12,3,No description provided,General,
smith one arm row,back,5,Medium,Compound,Body Weight,Max Effort,3,No description provided,General,
smith reverse grip bent over row,back,4,Low,Core,Machine,8-12,1,No description provided,General,
sphinx,back,1,Low,Pull,Body Weight,12-15,4,No description provided,General,
spine stretch,back,5,Low,Pull,None,Max Effort,2,No description provided,General,
standing pelvic tilt,back,1,Medium,Compound,Machine,15-20,4,No description provided,General,
upper back stretch,back,5,Low,Isolation,Body Weight,8-12,1,No description provided,General,
upward facing dog,back,3,High,Core,Machine,12-15,3,No description provided,General,
wide grip rear pull-up,back,4,High,Push,None,Max Effort,3,No description provided,General,
muscle-up (on vertical bar),back,1,Medium,Compound,Cable,12-15,3,No description provided,General,
back pec stretch,back,5,Low,Compound,Body Weight,12-15,3,No description provided,General,
wide grip pull-up,back,1,Low,Core,Barbell,15-20,4,No description provided,General,
assisted standing chin-up,back,1,Low,Push,Body Weight,8-12,4,No description provided,General,
assisted standing pull-up,back,4,Low,Push,None,8-12,3,No description provided,General,
lever gripless shrug v. 2,back,2,High,Push,Kettlebell,Max Effort,2,No description provided,General,
cable squat row (with rope attachment),back,3,Low,Core,Machine,12-15,4,No description provided,General,
shoulder grip pull-up,back,4,Medium,Isolation,Band,8-12,1,No description provided,General,
elbow lift - reverse push-up,back,5,High,Core,Band,15-20,3,No description provided,General,
one arm towel row,back,5,High,Push,Cable,12-15,1,No description provided,General,
roller side lat stretch,back,1,Medium,Pull,Cable,Max Effort,3,No description provided,General,
roller back stretch,back,3,Medium,Push,Cable,Max Effort,2,No description provided,General,
lever pullover,back,5,Low,Compound,Machine,8-12,1,No description provided,General,
inverted row on bench,back,3,Low,Cardio,Band,Max Effort,3,No description provided,General,
inverted row bent knees,back,3,Medium,Compound,Dumbbell,8-12,1,No description provided,General,
dumbbell reverse grip row (female),back,1,High,Push,Machine,8-12,3,No description provided,General,
cable lat pulldown full range of motion,back,3,Medium,Pull,Machine,8-12,1,No description provided,General,
cable thibaudeau kayak row,back,3,Medium,Isolation,Kettlebell,Max Effort,1,No description provided,General,
cable lateral pulldown with v-bar,back,3,Low,Cardio,Machine,Max Effort,4,No description provided,General,
lever reverse grip lateral pulldown,back,1,Medium,Compound,None,8-12,4,No description provided,General,
weighted close grip chin-up on dip cage,back,3,Medium,Core,Barbell,8-12,3,No description provided,General,
ez bar lying bent arms pullover,back,3,Medium,Isolation,Kettlebell,Max Effort,3,No description provided,General,
scapula dips,back,3,Low,Compound,Kettlebell,Max Effort,2,No description provided,General,
barbell pendlay row,back,3,High,Cardio,Cable,Max Effort,2,No description provided,General,
bench pull-ups,back,1,High,Cardio,Band,Max Effort,3,No description provided,General,
band fixed back underhand pulldown,back,3,Medium,Core,Body Weight,8-12,3,No description provided,General,
band fixed back close grip pulldown,back,2,Medium,Pull,None,8-12,2,No description provided,General,
resistance band seated straight back row,back,5,Low,Push,Body Weight,8-12,3,No description provided,General,
bodyweight standing close-grip one arm row,back,1,Medium,Core,Cable,15-20,4,No description provided,General,
bodyweight standing close-grip row,back,3,Low,Compound,Dumbbell,12-15,4,No description provided,General,
bodyweight standing one arm row (with towel),back,5,High,Isolation,None,12-15,3,No description provided,General,
bodyweight standing one arm row,back,2,Low,Isolation,Cable,8-12,3,No description provided,General,
bodyweight standing row (with towel),back,5,Medium,Core,Body Weight,Max Effort,1,No description provided,General,
bodyweight standing row,back,5,High,Compound,Band,8-12,1,No description provided,General,
bodyweight squatting row (with towel),back,2,Medium,Pull,Kettlebell,15-20,3,No description provided,General,
bodyweight squatting row,back,1,High,Push,Body Weight,12-15,1,No description provided,General,
lever bent-over row with v-bar,back,1,Low,Cardio,None,Max Effort,1,No description provided,General,
two toe touch (male),back,4,Medium,Isolation,Machine,8-12,4,No description provided,General,
weighted muscle up,back,3,High,Compound,Body Weight,15-20,2,No description provided,General,
weighted one hand pull up,back,4,Low,Push,Barbell,8-12,4,No description provided,General,
elevator,back,4,Medium,Compound,Cable,12-15,1,No description provided,General,
archer pull up,back,1,Medium,Isolation,Body Weight,15-20,2,No description provided,General,
front lever reps,back,1,High,Push,None,8-12,2,No description provided,General,
back lever,back,1,Medium,Push,Kettlebell,12-15,1,No description provided,General,
skin the cat,back,2,Low,Push,None,15-20,1,No description provided,General,
weighted muscle up (on bar),back,3,High,Compound,Kettlebell,15-20,1,No description provided,General,
l-pull-up,back,4,Medium,Core,Body Weight,12-15,3,No description provided,General,
dumbbell incline y-raise,back,2,Medium,Compound,Cable,Max Effort,1,No description provided,General,
cable one arm pulldown,back,4,Low,Isolation,Body Weight,8-12,2,No description provided,General,
dumbbell side plank with rear fly,back,4,Medium,Core,Kettlebell,8-12,3,No description provided,General,
standing archer,back,5,Medium,Compound,Kettlebell,15-20,1,No description provided,General,
jack burpee,cardio,2,High,Push,None,12-15,4,No description provided,General,
mountain climber,cardio,3,High,Pull,Kettlebell,8-12,4,No description provided,General,
run (equipment),cardio,4,Medium,Push,None,Max Effort,2,No description provided,General,
run,cardio,2,High,Compound,Cable,Max Effort,1,No description provided,General,
stationary bike walk,cardio,2,Medium,Isolation,Kettlebell,12-15,1,No description provided,General,
burpee,cardio,1,Medium,Compound,Barbell,12-15,2,No description provided,General,
dumbbell burpee,cardio,2,Low,Pull,Band,12-15,1,No description provided,General,
stationary bike run v. 3,cardio,1,Medium,Cardio,None,Max Effort,4,No description provided,General,
walk elliptical cross trainer,cardio,5,Medium,Isolation,Machine,15-20,1,No description provided,General,
walking on stepmill,cardio,2,High,Core,Body Weight,12-15,4,No description provided,General,
cycle cross trainer,cardio,4,Low,Isolation,Band,15-20,1,No description provided,General,
jump rope,cardio,3,Low,Isolation,Body Weight,15-20,4,No description provided,General,
scissor jumps (male),cardio,5,Medium,Cardio,Machine,15-20,1,No description provided,General,
astride jumps (male),cardio,1,Medium,Cardio,None,15-20,4,No description provided,General,
half knee bends (male),cardio,1,Medium,Core,Band,8-12,4,No description provided,General,
semi squat jump (male),cardio,2,High,Core,Band,15-20,3,No description provided,General,
star jump (male),cardio,2,High,Pull,Band,Max Effort,1,No description provided,General,
jack jump (male),cardio,3,Medium,Cardio,Kettlebell,8-12,1,No description provided,General,
swing 360,cardio,2,Low,Cardio,Kettlebell,15-20,3,No description provided,General,
bear crawl,cardio,2,Medium,Isolation,Cable,12-15,2,No description provided,General,
skater hops,cardio,5,Medium,Compound,Kettlebell,Max Effort,4,No description provided,General,
high knee against wall,cardio,4,Medium,Push,Band,8-12,2,No description provided,General,
wheel run,cardio,5,Medium,Pull,Kettlebell,12-15,2,No description provided,General,
push to run,cardio,4,Low,Pull,Band,Max Effort,4,No description provided,General,
walking high knees lunge,cardio,4,Low,Core,Cable,Max Effort,1,No description provided,General,
short stride run,cardio,4,High,Pull,Barbell,Max Effort,1,No description provided,General,
walking on incline treadmill,cardio,1,Medium,Core,Band,15-20,3,No description provided,General,
ski step,cardio,4,Low,Core,None,8-12,1,No description provided,General,
back and forth step,cardio,1,Low,Isolation,Dumbbell,Max Effort,1,No description provided,General,
assisted chest dip (kneeling),chest,2,Medium,Isolation,Cable,12-15,1,No description provided,General,
barbell bench press,chest,1,High,Isolation,Body Weight,Max Effort,3,No description provided,General,
barbell decline bench press,chest,2,High,Core,Machine,12-15,1,No description provided,General,
barbell decline wide-grip press,chest,4,Low,Cardio,Machine,Max Effort,1,No description provided,General,
barbell front raise and pullover,chest,5,Low,Compound,Band,8-12,4,No description provided,General,
barbell guillotine bench press,chest,1,High,Pull,Band,15-20,3,No description provided,General,
barbell incline bench press,chest,4,High,Cardio,Body Weight,8-12,2,No description provided,General,
barbell incline shoulder raise,chest,3,High,Push,Kettlebell,15-20,2,No description provided,General,
barbell wide bench press,chest,5,Low,Pull,Body Weight,Max Effort,3,No description provided,General,
cable bench press,chest,3,Medium,Cardio,Kettlebell,Max Effort,3,No description provided,General,
cable cross-over variation,chest,3,Medium,Cardio,Dumbbell,12-15,3,No description provided,General,
cable decline fly,chest,5,High,Isolation,Machine,Max Effort,3,No description provided,General,
cable incline bench press,chest,4,High,Push,Cable,15-20,1,No description provided,General,
cable incline fly (on stability ball),chest,4,Medium,Compound,Machine,Max Effort,1,No description provided,General,
cable incline fly,chest,2,High,Push,Barbell,15-20,3,No description provided,General,
cable low fly,chest,3,Medium,Pull,Band,8-12,1,No description provided,General,
cable lying fly,chest,4,Low,Cardio,Band,Max Effort,1,No description provided,General,
cable middle fly,chest,3,Medium,Push,Cable,12-15,1,No description provided,General,
cable one arm lateral bent-over,chest,4,High,Cardio,Barbell,15-20,4,No description provided,General,
cable standing fly,chest,4,High,Cardio,Body Weight,8-12,1,No description provided,General,
chest dip,chest,5,High,Pull,Barbell,15-20,1,No description provided,General,
clock push-up,chest,1,Medium,Push,Kettlebell,Max Effort,1,No description provided,General,
decline push-up,chest,2,Medium,Pull,Dumbbell,Max Effort,3,No description provided,General,
dumbbell around pullover,chest,3,Low,Push,Band,8-12,3,No description provided,General,
dumbbell bench press,chest,5,High,Compound,Band,15-20,1,No description provided,General,
dumbbell decline bench press,chest,3,Low,Core,Machine,15-20,1,No description provided,General,
dumbbell decline fly,chest,2,Medium,Cardio,None,8-12,2,No description provided,General,
dumbbell decline hammer press,chest,3,Medium,Cardio,Machine,Max Effort,1,No description provided,General,
dumbbell decline twist fly,chest,4,High,Pull,Kettlebell,12-15,4,No description provided,General,
dumbbell fly,chest,3,High,Compound,Barbell,Max Effort,3,No description provided,General,
dumbbell incline bench press,chest,4,Medium,Cardio,Cable,8-12,1,No description provided,General,
dumbbell incline breeding,chest,1,High,Push,Cable,12-15,2,No description provided,General,
dumbbell incline fly,chest,3,Low,Compound,None,12-15,4,No description provided,General,
dumbbell incline hammer press,chest,4,Medium,Cardio,Dumbbell,12-15,3,No description provided,General,
dumbbell incline palm-in press,chest,5,Low,Compound,Body Weight,12-15,3,No description provided,General,
dumbbell incline shoulder raise,chest,5,Low,Push,Body Weight,12-15,3,No description provided,General,
dumbbell incline twisted flyes,chest,5,Medium,Core,None,8-12,3,No description provided,General,
dumbbell lying hammer press,chest,1,Medium,Core,Kettlebell,8-12,1,No description provided,General,
dumbbell lying one arm press v. 2,chest,1,High,Cardio,Band,12-15,1,No description provided,General,
dumbbell lying one arm press,chest,4,Medium,Compound,None,8-12,4,No description provided,General,
dumbbell pullover,chest,2,Low,Cardio,Barbell,8-12,2,No description provided,General,
dumbbell straight arm pullover,chest,1,Medium,Core,Body Weight,15-20,3,No description provided,General,
floor fly (with barbell),chest,3,High,Cardio,Machine,12-15,1,No description provided,General,
incline push up depth jump,chest,3,Medium,Cardio,None,15-20,3,No description provided,General,
incline push-up,chest,1,High,Compound,Kettlebell,8-12,2,No description provided,General,
incline reverse grip push-up,chest,5,Medium,Core,Dumbbell,Max Effort,2,No description provided,General,
isometric wipers,chest,2,Low,Compound,Kettlebell,15-20,3,No description provided,General,
kettlebell alternating press on floor,chest,4,Medium,Compound,Kettlebell,15-20,4,No description provided,General,
kettlebell extended range one arm press on floor,chest,4,High,Core,None,Max Effort,4,No description provided,General,
kettlebell plyo push-up,chest,2,Medium,Isolation,Band,Max Effort,1,No description provided,General,
lever chest press,chest,5,Medium,Push,Cable,15-20,3,No description provided,General,
lever chest press,chest,4,High,Core,Barbell,12-15,4,No description provided,General,
lever seated fly,chest,5,Low,Compound,Body Weight,Max Effort,2,No description provided,General,
push-up (bosu ball),chest,5,Medium,Compound,Barbell,Max Effort,3,No description provided,General,
push-up (on stability ball),chest,2,Medium,Isolation,Dumbbell,15-20,2,No description provided,General,
push-up (on stability ball),chest,1,High,Compound,Kettlebell,Max Effort,3,No description provided,General,
push-up (wall) v. 2,chest,1,High,Compound,Barbell,12-15,4,No description provided,General,
push-up (wall),chest,4,Low,Compound,Machine,Max Effort,1,No description provided,General,
push-up,chest,4,High,Isolation,Body Weight,15-20,1,No description provided,General,
push-up medicine ball,chest,1,Low,Isolation,Dumbbell,12-15,3,No description provided,General,
raise single arm push-up,chest,5,High,Compound,Cable,15-20,2,No description provided,General,
shoulder tap push-up,chest,4,High,Core,Band,12-15,2,No description provided,General,
single arm push-up,chest,2,Low,Isolation,Kettlebell,15-20,4,No description provided,General,
smith bench press,chest,5,Medium,Compound,Band,12-15,4,No description provided,General,
smith decline bench press,chest,3,Medium,Pull,Machine,8-12,2,No description provided,General,
smith decline reverse-grip press,chest,1,Low,Core,None,15-20,4,No description provided,General,
smith incline bench press,chest,1,High,Isolation,Barbell,8-12,4,No description provided,General,
smith incline reverse-grip press,chest,3,High,Compound,Dumbbell,8-12,2,No description provided,General,
smith incline shoulder raises,chest,3,Medium,Pull,Machine,15-20,1,No description provided,General,
smith reverse-grip press,chest,2,High,Push,Barbell,8-12,1,No description provided,General,
superman push-up,chest,1,Low,Core,Band,15-20,2,No description provided,General,
suspended push-up,chest,5,High,Core,None,8-12,1,No description provided,General,
weighted svend press,chest,5,Medium,Compound,Body Weight,Max Effort,4,No description provided,General,
band one arm twisting chest press,chest,3,Low,Push,Body Weight,8-12,4,No description provided,General,
dynamic chest stretch (male),chest,1,Low,Push,Cable,12-15,1,No description provided,General,
band bench press,chest,3,Low,Isolation,Body Weight,12-15,2,No description provided,General,
barbell decline pullover,chest,3,High,Core,Band,15-20,1,No description provided,General,
barbell reverse grip decline bench press,chest,5,Medium,Core,Kettlebell,8-12,3,No description provided,General,
barbell reverse grip incline bench press,chest,3,Low,Push,Band,15-20,4,No description provided,General,
barbell wide reverse grip bench press,chest,5,Medium,Push,Dumbbell,12-15,4,No description provided,General,
behind head chest stretch,chest,3,Low,Core,None,8-12,4,No description provided,General,
cable decline one arm press,chest,1,Medium,Push,None,12-15,3,No description provided,General,
cable decline press,chest,1,Low,Isolation,Kettlebell,8-12,3,No description provided,General,
cable one arm decline chest fly,chest,2,Medium,Compound,None,8-12,4,No description provided,General,
cable one arm fly on exercise ball,chest,5,Low,Push,Dumbbell,8-12,3,No description provided,General,
cable one arm incline fly on exercise ball,chest,2,High,Compound,Dumbbell,15-20,2,No description provided,General,
cable one arm incline press,chest,3,Medium,Core,Body Weight,Max Effort,3,No description provided,General,
cable one arm incline press on exercise ball,chest,3,Low,Core,Machine,15-20,1,No description provided,General,
cable one arm press on exercise ball,chest,3,Medium,Compound,Band,8-12,2,No description provided,General,
cable press on exercise ball,chest,2,Medium,Push,Band,15-20,2,No description provided,General,
cable standing up straight crossovers,chest,3,High,Core,Band,12-15,1,No description provided,General,
cable upper chest crossovers,chest,1,High,Compound,Barbell,Max Effort,2,No description provided,General,
chest and front of shoulder stretch,chest,2,High,Cardio,Band,15-20,4,No description provided,General,
chest stretch with exercise ball,chest,1,Low,Isolation,Cable,8-12,1,No description provided,General,
clap push up,chest,2,High,Pull,Band,8-12,2,No description provided,General,
deep push up,chest,4,Medium,Core,Band,8-12,3,No description provided,General,
drop push up,chest,5,Medium,Compound,Body Weight,12-15,2,No description provided,General,
dumbbell decline one arm fly,chest,2,High,Compound,Body Weight,15-20,3,No description provided,General,
dumbbell fly on exercise ball,chest,5,High,Compound,Machine,Max Effort,3,No description provided,General,
dumbbell incline fly on exercise ball,chest,4,High,Pull,None,15-20,4,No description provided,General,
dumbbell incline one arm fly,chest,5,High,Push,None,8-12,1,No description provided,General,
dumbbell incline one arm fly on exercise ball,chest,2,Medium,Core,Body Weight,8-12,3,No description provided,General,
dumbbell incline one arm press,chest,4,Medium,Core,None,15-20,3,No description provided,General,
dumbbell incline one arm press on exercise ball,chest,2,High,Compound,Band,8-12,4,No description provided,General,
dumbbell incline press on exercise ball,chest,2,High,Isolation,Cable,Max Effort,3,No description provided,General,
dumbbell lying pullover on exercise ball,chest,4,Medium,Core,Cable,Max Effort,3,No description provided,General,
dumbbell one arm bench fly,chest,1,Medium,Core,Body Weight,12-15,2,No description provided,General,
dumbbell one arm chest fly on exercise ball,chest,5,Low,Push,None,8-12,1,No description provided,General,
